,Unnamed: 0,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,birthday,ages,targets,NextGame,DaysRest
4887,75524,bakersc02,5.0,2,2,1,1,3,4,0,6.55,20,87,54,33,8,13,4,9,2,0,60,0.2,1.09,1.8,2006-09-02,1.0,1981-09-19,21.5578370979,0.0,2006-09-07,5
121593,11912,wittbo01,6.0,8,8,2,2,1,2,0,3.0,26,92,60,40,1,19,12,11,8,0,49,0.139,1.14,1.4,1999-04-08,1.0,1964-05-11,30.160164271,0.0,1999-04-13,5
124195,32117,zambrca01,5.1,6,6,6,6,3,3,0,4.89,24,95,55,28,6,21,7,11,1,0,32,-0.342,1.16,-2.5,2011-05-16,1.0,1981-06-01,25.8809034908,0.0,2011-05-21,5
67475,27432,marquja01,6.0,5,5,2,2,3,8,0,4.46,26,111,67,33,12,22,6,9,1,0,59,0.064,1.01,1.3,2008-09-01,1.0,1978-08-21,25.9466119097,0.0,2008-09-06,5
60852,84281,lestejo01,4.0,5,5,4,4,3,4,1,9.0,20,83,47,24,4,19,3,10,5,0,37,-0.209,0.81,-2.0,2008-03-26,1.0,1984-01-07,20.9226557153,0.0,2008-04-02,7
110733,45150,tillmch01,8.0,1,1,0,0,1,8,0,4.96,26,106,70,34,18,18,7,10,2,0,87,0.623,1.19,3.8,2015-07-18,1.0,1988-04-15,23.5482546201,0.0,2015-07-24,6
18384,61884,chenwe02,6.1,6,6,2,2,2,12,0,4.4,27,98,69,32,12,25,4,9,4,0,63,0.273,1.03,2.5,2016-05-11,1.0,1985-07-21,26.6146475017,0.0,2016-05-17,6
99534,23813,santaer01,6.0,5,5,4,4,1,8,3,6.0,24,98,66,38,12,16,3,12,5,0,53,-0.186,0.6,-1.0,2013-04-03,1.0,1982-12-12,26.1848049281,0.0,2013-04-08,5
5576,18312,bardda01,5.1,8,8,4,4,2,1,0,4.38,26,101,60,34,5,21,8,14,5,0,35,-0.146,1.0,-2.3,2012-05-02,1.0,1985-06-25,23.2005475702,0.0,2012-05-08,6
17632,40502,chacijh01,6.1,3,3,4,3,3,2,0,4.1,25,94,57,31,6,20,14,6,1,0,52,-0.171,0.84,-0.9,2013-05-21,1.0,1988-01-07,21.916495551,0.0,2013-05-27,6
53874,77830,jonesbo03,6.2,5,5,4,4,5,4,1,3.05,29,106,57,34,9,14,14,6,5,0,47,-0.331,1.02,-0.9,1994-05-18,1.0,1970-02-10,20.9637234771,0.0,1994-05-24,6
59514,111310,leakemi01,7.0,4,4,0,0,0,3,0,4.07,26,91,64,35,4,25,14,8,4,0,72,0.37,0.88,3.4,2016-05-21,1.0,1987-11-12,24.643394935,0.0,2016-05-26,5
100424,99819,saundto01,7.0,7,7,3,3,4,7,1,3.81,33,103,60,34,10,16,8,14,6,0,54,-0.063,0.55,0.9,1998-05-23,1.0,1974-04-29,20.7912388775,0.0,1998-05-29,6
120250,2699,willije01,5.0,8,8,6,4,3,4,1,4.73,26,92,55,35,6,14,8,11,5,0,32,-0.21,0.81,-2.7,2013-07-21,1.0,1981-12-04,27.3237508556,0.0,2013-07-26,5
26898,56137,drabeky01,5.1,4,4,2,2,6,5,1,2.0,23,100,49,26,11,12,7,5,3,0,51,-0.02,0.92,0.1,2012-04-20,1.0,1987-12-08,21.0513347023,0.0,2012-04-25,5
68427,80120,martipe02,4.0,7,7,6,6,1,1,1,5.44,20,74,47,26,6,15,6,12,4,0,24,-0.288,0.69,-4.0,2008-09-07,1.0,1971-10-25,31.8548939083,0.0,2008-09-15,8
12732,23226,buehrma01,6.1,4,4,5,5,4,4,1,3.24,26,95,57,31,8,18,10,8,2,0,45,-0.127,1.18,-0.5,2009-06-09,1.0,1979-03-23,26.1054072553,0.0,2009-06-14,5
61587,90700,liebejo01,8.0,3,3,0,0,3,4,0,0.64,28,99,59,37,5,17,13,8,1,0,77,0.548,1.45,4.2,1994-05-21,1.0,1970-04-02,20.8514715948,0.0,1994-05-27,6
119087,107796,wendetu01,4.0,7,7,6,6,2,3,1,12.6,21,77,48,27,5,16,5,11,5,0,25,-0.321,0.51,-4.0,1994-05-10,1.0,1967-05-19,23.3045859001,0.0,1996-05-06,727
110400,116595,thomsjo01,3.2,10,10,6,6,0,3,1,6.05,21,67,46,28,6,12,10,8,4,0,20,-0.348,0.86,-3.9,2003-06-25,1.0,1973-10-01,25.6865160849,0.0,2003-06-30,5
112098,93978,turneja01,4.1,7,7,7,7,3,1,1,6.2,23,86,49,32,3,14,10,9,4,0,19,-0.525,1.18,-4.3,2014-09-14,1.0,1991-05-21,20.1451060917,0.0,2014-09-21,7
21593,5713,corbipa01,8.0,3,3,1,1,1,10,1,2.4,28,97,67,36,19,12,9,8,4,0,81,0.237,0.46,2.6,2013-07-07,1.0,1989-07-19,20.7063655031,0.0,2013-07-12,5
96969,92143,ruschgl01,4.2,8,8,5,5,1,4,0,7.99,23,93,61,42,2,17,8,10,3,0,31,-0.263,0.92,-2.7,2003-07-18,1.0,1974-11-07,24.7885010267,0.0,2003-07-23,5
123598,90751,youngan01,4.0,4,4,1,1,1,2,0,3.92,16,55,30,17,3,10,9,4,1,0,51,0.097,1.01,1.1,1994-07-26,1.0,1966-01-19,24.6351813826,0.0,1995-06-17,326
34172,27809,garcija02,7.0,9,9,1,1,1,4,0,1.89,30,84,61,37,6,18,14,11,4,0,58,0.142,0.56,2.2,2011-05-12,1.0,1986-07-08,21.4620123203,0.0,2011-05-17,5
76876,103918,munozbo01,5.0,7,7,3,3,1,3,1,8.0,22,80,52,33,6,13,12,6,5,0,43,-0.123,0.55,-0.5,1997-04-09,1.0,1968-03-03,25.1416837782,0.0,1997-04-15,6
107793,109785,suppaje01,7.0,8,8,3,3,0,6,1,4.23,30,100,63,38,9,16,13,11,5,0,55,0.081,0.52,0.7,2006-09-15,1.0,1975-01-02,27.3894592745,0.0,2006-09-20,5
99024,106243,sanchjo01,4.2,2,2,3,3,6,6,0,3.81,23,94,49,20,8,21,7,3,0,0,48,-0.19,0.8,-1.6,2011-06-24,1.0,1982-11-19,24.7036276523,0.0,2011-08-05,42
96629,39129,rueteki01,6.0,4,4,3,3,3,2,0,5.07,24,94,60,33,9,18,7,12,2,0,51,-0.057,0.94,0.5,2004-09-08,1.0,1970-12-01,29.1772758385,0.0,2004-09-14,6
17262,37883,castifr01,6.0,6,6,4,2,4,3,1,5.64,28,96,55,36,5,14,9,12,6,0,47,-0.097,0.85,-0.2,1997-05-01,1.0,1969-04-01,24.2628336756,0.0,1997-05-07,6
63114,93877,liriafr01,5.0,9,9,6,6,2,4,2,4.86,26,99,61,28,13,20,14,6,3,0,27,-0.37,1.11,-3.8,2014-05-20,1.0,1983-10-26,26.4065708419,0.0,2014-05-25,5
101151,43654,schilcu01,6.0,7,7,2,2,0,8,0,3.86,25,109,76,44,13,19,6,11,6,0,58,0.077,1.1,1.3,2006-06-02,1.0,1966-11-14,34.1683778234,0.0,2006-06-08,6
55615,98407,kendrky01,5.0,7,7,3,3,2,4,1,6.25,21,75,48,28,3,17,5,10,6,0,43,-0.058,1.12,-0.8,2015-09-07,1.0,1984-08-26,26.8090349076,0.0,2015-09-13,6
15697,19125,candito01,7.0,8,8,1,1,3,1,0,4.0,29,105,63,39,7,17,14,11,6,0,55,0.255,1.03,2.3,1990-05-30,1.0,1957-08-31,28.2902121834,0.0,1990-06-05,6
69035,44130,matsuda01,5.0,6,6,1,1,3,6,0,7.17,21,96,61,34,9,18,4,8,7,0,54,0.199,1.49,1.7,2009-06-02,1.0,1980-09-13,24.810403833,0.0,2009-06-07,5
56898,104316,kileda01,6.0,6,6,5,5,6,4,1,5.77,27,111,60,40,6,14,9,8,2,0,38,-0.253,1.04,-1.9,1999-07-01,1.0,1968-12-02,26.417522245,0.0,1999-07-05,4
67294,78997,marquja01,6.0,7,7,1,1,0,4,0,3.59,24,97,63,35,9,19,5,15,7,0,58,0.22,1.12,2.0,2001-09-21,1.0,1978-08-21,19.9452429843,0.0,2001-09-26,5
108454,45654,swindgr01,4.2,6,6,4,4,2,3,0,5.88,22,83,53,28,12,13,11,6,4,0,37,-0.154,0.91,-2.2,1995-05-31,1.0,1965-01-02,26.2696783025,0.0,1995-06-05,5
97125,114611,ryanno01,9.0,4,4,3,3,2,11,1,3.48,33,130,85,44,24,17,8,12,4,0,76,-0.009,0.88,1.3,1990-09-24,1.0,1947-01-31,37.7084188912,0.0,1990-09-30,6
25230,18456,dempsry01,5.0,3,3,3,1,2,7,1,3.6,21,93,60,27,13,20,7,5,2,0,58,-0.062,1.18,-0.5,2013-04-10,1.0,1977-05-03,31.0472279261,0.0,2013-04-15,5
82573,8567,ortizru01,5.0,8,8,6,6,4,5,2,3.46,27,98,57,29,10,18,5,12,4,0,28,-0.365,1.33,-3.4,2004-08-14,1.0,1974-06-05,26.0862422998,0.0,2004-08-19,5
17557,121473,chacigu01,5.1,7,7,4,4,4,1,1,5.6,27,95,55,37,5,13,8,14,6,0,35,-0.134,1.25,-1.0,2007-04-28,1.0,1980-12-04,22.803559206,0.0,2009-08-11,836
113020,123079,vargacl01,1.1,7,7,6,6,2,1,2,7.36,13,46,26,16,6,4,1,9,6,0,15,-0.381,1.11,-5.3,2005-05-17,1.0,1978-06-19,23.2498288843,0.0,2005-05-20,3
38405,121830,greinza01,5.0,9,9,7,5,1,3,2,1.55,26,101,61,38,5,18,3,19,6,0,27,-0.29,0.52,-4.3,2009-06-05,1.0,1983-10-21,22.1382614648,0.0,2009-06-11,6
121077,85765,wilsost01,7.1,7,7,4,4,1,0,1,5.3,30,106,62,45,6,11,8,21,5,0,47,0.047,0.95,0.1,1990-06-15,1.0,1964-12-13,22.0342231348,0.0,1990-06-22,7
90203,44818,quintjo01,8.0,6,6,3,3,1,7,2,3.67,31,105,71,43,11,17,11,12,3,0,64,0.28,0.82,1.0,2013-07-09,1.0,1989-01-24,21.1279945243,0.0,2013-07-14,5
28244,35410,elartsc01,6.0,6,6,2,2,3,4,0,5.77,26,91,57,31,5,21,4,15,6,0,53,0.157,1.16,1.0,2005-05-28,1.0,1976-02-23,25.2785763176,0.0,2005-06-02,5
46917,46029,hernali01,8.0,3,3,0,0,2,8,0,2.25,29,120,70,32,9,29,9,10,3,0,82,0.269,0.58,3.9,1997-07-30,1.0,1975-02-20,19.3867214237,0.0,1997-08-04,5
31769,44689,fistedo01,3.2,8,8,7,7,3,6,1,3.67,22,82,51,24,8,19,4,9,2,0,20,-0.457,0.94,-5.2,2012-08-19,1.0,1984-02-04,24.6570841889,0.0,2012-08-31,12
72436,50437,millewa04,7.0,3,3,2,2,0,5,1,5.01,24,92,54,30,7,17,7,12,3,0,68,0.238,0.93,1.7,2003-05-20,1.0,1976-09-13,23.0499657769,0.0,2003-05-25,5
69661,36922,mcallza01,3.1,8,8,4,4,0,0,1,5.91,17,64,46,34,3,9,9,8,5,0,28,-0.291,1.15,-2.6,2014-07-31,1.0,1987-12-08,23.0198494182,0.0,2014-09-15,46
110196,54087,thompju02,6.0,11,11,7,6,2,2,0,4.52,31,116,69,41,8,20,14,13,6,0,24,-0.191,0.69,-3.4,1999-06-23,1.0,1973-03-08,22.71321013,0.0,1999-06-29,6
85638,37007,pelfrmi01,7.0,6,6,2,2,2,0,0,2.62,29,105,64,43,1,20,18,9,3,0,55,0.094,1.0,1.6,2015-05-08,1.0,1984-01-14,27.0527036277,0.0,2015-05-14,6
50166,9097,hudsoti01,7.2,8,8,3,3,2,5,0,3.34,33,120,74,44,13,17,13,13,1,0,54,0.19,1.48,2.3,2007-09-21,1.0,1975-07-14,27.8110882957,0.0,2007-09-26,5
20417,40641,colonba01,4.2,10,10,7,7,1,3,1,5.65,25,82,57,36,6,15,10,10,7,0,18,-0.279,0.5,-4.8,2014-05-01,1.0,1973-05-24,35.3675564682,0.0,2014-05-06,5
90365,67283,radkebr01,7.0,7,7,3,3,1,5,1,4.62,29,112,71,49,9,13,5,18,6,0,55,-0.053,0.98,0.6,1996-08-16,1.0,1972-10-27,20.5639972621,0.0,1996-08-21,5
64580,8686,lopezro02,6.0,7,7,4,4,1,5,1,4.47,25,94,63,32,13,18,10,9,2,0,46,-0.16,0.73,-0.9,2005-06-26,1.0,1975-12-14,25.5140314853,0.0,2005-07-01,5
104832,86623,smoltjo01,5.0,2,2,1,1,3,5,0,3.26,21,81,47,21,5,21,6,6,4,0,61,0.141,1.05,1.6,1995-09-26,1.0,1967-05-15,24.5065023956,0.0,1995-10-01,5
82246,985,ortizra02,6.0,4,4,2,2,1,5,1,5.4,23,109,72,47,10,15,4,13,4,0,60,0.056,0.71,1.2,2003-04-13,1.0,1973-05-23,25.8234086242,0.0,2003-04-18,5
61353,37189,lewisco01,6.0,2,2,0,0,2,2,0,3.09,22,99,59,37,4,18,10,8,3,0,68,0.336,1.08,3.2,2016-05-31,1.0,1979-08-02,31.819301848,0.0,2016-06-06,6
76097,100624,moyerja01,7.0,2,2,2,2,3,3,1,3.61,27,98,58,37,2,19,7,13,1,0,65,0.19,0.9,1.6,2003-05-11,1.0,1962-11-18,34.970568104,0.0,2003-05-17,6
59116,60667,latosma01,7.2,8,8,2,1,1,4,0,3.39,31,106,73,46,8,19,17,9,6,0,60,0.214,1.05,1.2,2013-07-25,1.0,1987-12-09,22.1409993155,0.0,2013-07-30,5
6586,1504,bedarer01,3.2,10,10,6,6,1,3,1,5.67,24,78,49,29,7,13,8,11,5,0,19,-0.282,0.84,-4.1,2006-05-27,1.0,1979-03-05,23.523613963,0.0,2006-06-01,5
79880,70295,nolasri01,1.0,3,3,2,2,0,1,0,5.51,6,28,15,9,1,5,0,5,3,0,40,-0.09,0.93,-0.8,2015-05-31,1.0,1982-12-13,28.0465434634,0.0,2015-10-04,126
63243,122021,litscje01,7.0,4,4,3,3,1,5,2,6.54,26,99,61,37,7,17,10,10,1,0,61,-0.038,0.71,0.5,2010-07-11,1.0,1985-03-09,21.8918548939,0.0,2010-07-20,9
122058,89079,wolfra02,6.0,2,2,0,0,3,5,0,3.18,24,100,60,32,8,20,7,8,0,0,70,0.326,1.18,2.8,2011-04-19,1.0,1976-08-22,29.9411362081,0.0,2011-04-24,5
36593,6211,godleza01,5.0,8,8,4,4,3,2,0,5.28,24,76,48,29,7,12,11,8,6,0,34,-0.207,1.34,-1.5,2016-07-05,1.0,1990-04-21,22.6420260096,0.0,2016-07-19,14
49677,45561,houghch01,7.0,5,5,3,3,3,3,1,4.44,28,110,65,40,6,19,12,9,4,0,55,0.063,0.97,0.7,1994-06-04,1.0,1948-01-05,40.0985626283,0.0,1994-06-09,5
15852,7082,candito01,8.0,3,3,0,0,0,5,0,2.82,27,100,63,36,13,14,12,10,2,0,81,0.565,1.02,4.3,1995-07-06,1.0,1957-08-31,32.6981519507,0.0,1995-07-13,7
96207,89611,rossty01,7.0,4,4,0,0,1,7,0,2.97,26,97,66,35,15,16,13,5,2,0,75,0.422,1.2,3.1,2014-06-11,1.0,1987-04-22,23.4442162902,0.0,2014-06-16,5
25020,79063,dempsry01,6.1,7,7,2,2,3,5,0,4.31,28,111,66,35,9,22,7,13,6,0,53,0.145,0.94,0.4,2002-05-27,1.0,1977-05-03,21.6536618754,0.0,2002-06-01,5
84464,123181,pattejo02,4.2,9,9,7,7,3,4,1,2.74,25,105,66,36,5,25,8,10,5,0,19,-0.33,1.05,-4.0,2005-09-08,1.0,1978-01-30,23.8494182067,0.0,2005-09-16,8
13529,57005,burkejo03,5.0,5,5,4,3,4,2,0,3.61,24,90,49,33,6,10,12,6,3,0,41,-0.214,0.8,-1.7,1990-07-24,1.0,1964-11-28,22.160164271,0.0,1990-07-28,4
13966,46611,burnea.01,6.1,8,8,1,1,4,2,0,0.84,29,96,56,36,11,9,11,12,8,0,51,0.203,1.3,2.0,2001-05-18,1.0,1977-01-03,21.054072553,0.0,2001-05-24,6
80663,102688,nunovi01,5.0,6,6,3,3,0,5,1,3.8,21,83,58,34,8,16,5,11,4,0,48,-0.147,1.06,-0.7,2015-09-29,1.0,1987-07-26,24.3449691992,0.0,2015-10-04,5
87165,46722,persoro01,6.2,7,7,4,3,3,4,2,3.97,30,100,66,40,8,18,6,17,5,0,47,-0.063,0.98,-0.9,2001-09-28,1.0,1969-10-06,27.627652293,0.0,2001-10-03,5
124140,64980,zambrca01,6.0,7,7,3,3,3,7,1,3.0,27,118,77,46,12,19,10,7,3,0,50,-0.076,0.91,-0.1,2009-04-11,1.0,1981-06-01,24.0711841205,0.0,2009-04-17,6
55104,113171,kazmisc01,6.0,5,5,0,0,1,5,0,3.36,23,93,59,38,7,14,4,12,8,0,66,0.302,1.11,3.2,2008-09-20,1.0,1984-01-24,21.3032169747,0.0,2008-09-25,5
54631,62928,karlsc01,5.1,9,9,7,7,3,3,1,5.13,28,104,64,41,6,17,8,14,7,0,22,-0.394,1.09,-3.6,1996-06-02,1.0,1971-08-09,21.440109514,0.0,1996-06-08,6
